ambulancer;bikeage_gr;bike_age;bike_dir;bike_injur;bike_pos;bike_race;bike_sex;city;county;crashalcoh;crashday;crash_grp;crash_loc;crash_mont;crash_time;crash_type;crash_year;crsh_sevri;developmen;drvrage_gr;drvr_age;drvr_alc_d;drvr_estsp;drvr_injur;drvr_race;drvr_sex;drvr_vehty;excsspdind;hit_run;light_cond;locality;num_lanes;num_units;rd_charact;rd_class;rd_conditi;rd_config;rd_defects;rd_feature;rd_surface;rural_urba;speed_limi;traff_cntr;weather;workzone_i
Yes;60-69;63;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Chapel Hill;Orange;No;Monday;Motorist Failed to Yield - Signalized Intersection;Intersection;July;13:56;Motorist Drive Out - Right Turn on Red;2008;C: Possible Injury;Residential;60-69;62;No;0-5 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Related To Intersection;Smooth Asphalt;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No
No;25-29;29;With Traffic;O: No Injury;Travel Lane;White;Male;Carrboro;Orange;No;Tuesday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;November;18:07;Motorist Drive Out - Sign-Controlled Intersection;2009;O: No Injury;Commercial;20-24;22;No;6-10 mph;O: No Injury;White;Male;Passenger Car;No;No;Dusk;Urban (>70% Developed);6 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Divided, Positive Median Barrier;None;On or Off Ramp;Smooth Asphalt;Urban;30 - 35  MPH;Stop Sign;Clear;No
No;25-29;29;With Traffic;O: No Injury;Unknown;White;Male;Carrboro;Orange;No;Tuesday;Motorist Right Turn / Merge;Intersection;April;15:09;Motorist Right Turn - Same Direction;2007;O: No Injury;Commercial;20-24;22;No;31-35 mph;O: No Injury;Black;Male;Unknown;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
No;Unknown;Unknown;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Chapel Hill;Orange;No;Saturday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;June;13:40;Motorist Drive Out - Sign-Controlled Intersection;2008;C: Possible Injury;Commercial;50-59;51;No;Unknown;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
Yes;25-29;27;Not Applicable;C: Possible Injury;Driveway / Alley;White;Female;Carrboro;Orange;No;Friday;Loss of Control / Turning Error;Non-Intersection;November;21:44;Bicyclist Lost Control - Other / Unknown;2009;C: Possible Injury;Residential;20-24;23;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);2 lanes;2.0;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;30-39;34;With Traffic;B: Evident Injury;Travel Lane;White;Male;None - Rural Crash;Orange;No;Friday;Motorist Left Turn / Merge;Non-Intersection;October;17:10;Motorist Left Turn - Opposite Direction;2007;B: Evident Injury;Farms, Woods, Pastures;0-19;18;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2.0;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;Driveway, Private;Smooth Asphalt;Rural;30 - 35  MPH;No Control Present;Clear;No
Yes;20-24;20;With Traffic;C: Possible Injury;Unknown;White;Male;Chapel Hill;Orange;Yes;Sunday;Motorist Failed to Yield - Midblock;Non-Intersection;October;9:54;Motorist Drive Out - Commercial Driveway / Alley;2008;C: Possible Injury;Residential;20-24;22;Yes;0-5 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Level;Public Vehicular Area;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
Yes;30-39;33;With Traffic;C: Possible Injury;Travel Lane;White;Female;Chapel Hill;Orange;No;Sunday;Motorist Left Turn / Merge;Non-Intersection;September;10:50;Motorist Left Turn - Opposite Direction;2012;C: Possible Injury;Commercial;70;70;No;6-10 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Coarse Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
No;16-19;19;With Traffic;B: Evident Injury;Travel Lane;White;Male;Chapel Hill;Orange;No;Wednesday;Motorist Left Turn / Merge;Intersection;August;19:25;Motorist Left Turn - Opposite Direction;2010;B: Evident Injury;Institutional;20-24;21;No;0-5 mph;O: No Injury;White;Male;Sport Utility;No;No;Daylight;Urban (>70% Developed);2 lanes;2.0;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;No Control Present;Clear;No
No;20-24;22;With Traffic;C: Possible Injury;Travel Lane;Unknown/Missing;Male;Chapel Hill;Orange;Yes;Thursday;Motorist Failed to Yield - Sign-Controlled Intersection;Intersection;May;23:09;Motorist Drive Out - Sign-Controlled Intersection;2007;C: Possible Injury;Residential;40-49;48;No;6-10 mph;O: No Injury;Black;Male;Sport Utility;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2.0;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Urban;20 - 25  MPH;Stop Sign;Clear;No
